movie_code,movie_name,distributor,screen_national,sales_national,audience_national,production_year,release_date,director,actor,production_company,genre,length,age_restriction,sales_01,audience_01,screen_01,sales_02,audience_02,screen_02,sales_03,audience_03,screen_03,sales_04,audience_04,screen_04,sales_05,audience_05,screen_05,sales_06,audience_06,screen_06,sales_07,audience_07,screen_07,sales_08,audience_08,screen_08,sales_09,audience_09,screen_09,sales_10,audience_10,screen_10,rate_cgv,comment_cgv,rate_naver,comment_naver,synopsis
1000001,극한직업,(주)씨제이이엔엠,"1,978","139,647,979,516","16,264,944",2018,20190123,이병헌,류승룡 | 이하늬 | 진선규 | 이동휘 | 공명 | 추병현,㈜어바웃필름,코메디,111,15세관람가,"3,004,762,990","368,582","8,463","2,710,335,900","331,924","8,797","3,480,111,958","386,371","9,467","8,915,603,012","995,406","10,462","9,194,797,790","1,033,089","10,631","3,252,003,460","397,188","9,914","2,903,928,330","358,186","10,033","3,517,853,520","564,825","7,882","2,831,862,480","350,685","7,878","4,127,228,578","462,875","8,829",97.0%,"186,162",9.21,"15,871","낮에는 치킨장사! 밤에는 잠복근무!지금까지 이런 수사는 없었다!불철주야 달리고 구르지만 실적은 바닥, 급기야 해체 위기를 맞는 마약반!더 이상 물러설 곳이 없는 팀의 맏형 고반장은 국제 범죄조직의 국내 마약 밀반입 정황을 포착하고 장형사, 마형사, 영호, 재훈까지 4명의 팀원들과 함께 잠복 수사에 나선다.마약반은 24시간 감시를 위해 범죄조직의 아지트 앞 치킨집을 인수해 위장 창업을 하게 되고, 뜻밖의 절대미각을 지닌 마형사의 숨은 재능으로 치킨집은 일약 맛집으로 입소문이 나기 시작한다.수사는 뒷전, 치킨장사로 눈코 뜰 새 없이 바빠진 마약반에게 어느 날 절호의 기회가 찾아오는데…범인을 잡을 것인가, 닭을 잡을 것인가!2019년 새해, 출동!"
1000002,명량,(주)씨제이이엔엠,"1,587","135,748,398,910","17,613,682",2014,20140730,김한민,최민식 | 류승룡 | 조진웅 | 김명곤 | 진구,㈜빅스톤픽쳐스,"시대극/사극,액션,전기",126,15세관람가,"4,708,879,000","682,701","6,147","5,243,409,900","705,070","6,258","6,918,410,307","867,437","6,699","9,826,541,209","1,232,529","7,605","10,031,212,500","1,257,380","7,963","7,455,501,400","990,022","7,551","6,511,760,400","869,153","7,779","5,273,445,400","702,887","6,788","4,892,511,700","652,776","6,776","5,493,530,692","690,123","7,026",91.0%,"216,336",8.88,"28,641","1597년 임진왜란 6년, 오랜 전쟁으로 인해 혼란이 극에 달한 조선. 무서운 속도로 한양으로 북상하는 왜군에 의해 국가존망의 위기에 처하자 누명을 쓰고 파면 당했던 이순신 장군(최민식)이 삼도수군통제사로 재임명된다. 하지만 그에게 남은 건 전의를 상실한 병사와 두려움에 가득 찬 백성, 그리고 12척의 배 뿐. 마지막 희망이었던 거북선마저 불타고 잔혹한 성격과 뛰어난 지략을 지닌 용병 구루지마(류승룡)가 왜군 수장으로 나서자 조선은 더욱 술렁인다. 330척에 달하는 왜군의 배가 속속 집결하고 압도적인 수의 열세에 모두가 패배를 직감하는 순간, 이순신 장군은 단 12척의 배를 이끌고 명량 바다를 향해 나서는데…! 12척의 조선 vs 330척의 왜군 역사를 바꾼 위대한 전쟁이 시작된다!"
1000003,범죄도시2,"주식회사 에이비오엔터테인먼트,메가박스중앙(주) 플러스엠 엔터테인먼트","2,498","131,293,353,478","12,692,959",2022,20220518,이상용,마동석 | 손석구 | 최귀화 | 박지환 | 허동원 | 추병현,"주식회사 빅펀치픽쳐스,㈜홍필름,㈜비에이엔터테인먼트","범죄,액션",106,15세관람가,"4,682,804,560","467,483","12,159","3,691,412,950","366,223","12,071","5,535,528,550","523,192","12,985","11,053,323,700","1,037,004","14,029","10,312,298,400","973,821","13,746","3,401,800,740","336,655","12,527","2,865,738,330","283,576","12,533","2,840,694,110","342,272","12,737","2,420,006,200","240,641","12,660","3,859,805,700","364,472","13,296",98.0%,"71,641",8.94,"4,320","“느낌 오지? 이 놈 잡아야 하는 거”가리봉동 소탕작전 후 4년 뒤, 금천서 강력반은 베트남으로 도주한 용의자를 인도받아 오라는 미션을 받는다.괴물형사 ‘마석도’(마동석)와 ‘전일만’(최귀화) 반장은 현지 용의자에게서 수상함을 느끼고, 그의 뒤에 무자비한 악행을 벌이는 ‘강해상’(손석구)이 있음을 알게 된다.‘마석도’와 금천서 강력반은 한국과 베트남을 오가며 역대급 범죄를 저지르는 ‘강해상’을 본격적으로 쫓기 시작하는데...나쁜 놈들 잡는 데 국경 없다!통쾌하고 화끈한 범죄 소탕 작전이 다시 펼쳐진다!"
1000004,서울의 봄,메가박스중앙(주) 플러스엠 엔터테인먼트,"2,328","127,926,951,712","13,128,080",2022,20231122,김성수,황정민 | 정우성 | 이성민 | 박해준 | 김성균 | 이옥희,하이브미디어코프,드라마,141,12세관람가,"1,884,428,072","203,813","8,392","1,665,519,348","179,084","8,339","2,653,984,560","274,610","8,786","5,863,902,860","594,436","9,641","6,139,514,930","625,180","9,427","2,241,832,025","239,666","8,498","2,159,968,025","232,277","8,604","2,712,921,087","346,732","7,833","2,205,728,552","241,470","7,700","3,153,832,065","323,985","8,573",98.0%,"57,573",9.39,"3,676","1979년 12월 12일, 수도 서울 군사반란 발생 그날, 대한민국의 운명이 바뀌었다 대한민국을 뒤흔든 10월 26일 이후, 서울에 새로운 바람이 불어온 것도 잠시 12월 12일, 보안사령관 전두광이 반란을 일으키고 군내 사조직을 총동원하여 최전선의 전방부대까지 서울로 불러들인다. 권력에 눈이 먼 전두광의 반란군과 이에 맞선 수도경비사령관 이태신을 비롯한 진압군 사이 일촉즉발의 9시간이 흘러 가는데…목숨을 건 두 세력의 팽팽한 대립오늘 밤, 대한민국 수도에서 가장 치열한 전쟁이 펼쳐진다!"
1000005,신과함께-죄와 벌,롯데쇼핑㈜롯데엔터테인먼트,"1,912","115,698,654,137","14,410,754",2017,20171220,김용화,하정우 | 차태현 | 주지훈 | 김향기 | 김동욱 | 실장,"리얼라이즈픽쳐스㈜,㈜덱스터스튜디오","드라마,판타지",140,12세관람가,"2,984,150,800","406,365","6,818","2,974,413,400","401,449","6,955","4,062,412,398","497,810","7,458","8,037,759,271","968,372","8,426","10,584,623,400","1,268,537","8,801","10,020,464,250","1,212,822","8,641","3,195,369,100","430,026","7,816","3,021,329,100","495,106","5,998","2,803,729,600","377,807","6,547","4,414,381,670","532,755","7,190",93.0%,"177,036",8.73,"26,062","저승 법에 의하면, 모든 인간은 사후 49일 동안 7번의 재판을 거쳐야만 한다.살인, 나태, 거짓, 불의, 배신, 폭력, 천륜7개의 지옥에서 7번의 재판을 무사히 통과한 망자만이 환생하여 새로운 삶을 시작할 수 있다. “김자홍 씨께선, 오늘 예정 대로 무사히 사망하셨습니다”화재 사고 현장에서 여자아이를 구하고 죽음을 맞이한 소방관 자홍, 그의 앞에 저승차사 해원맥과 덕춘이 나타난다. 자신의 죽음이 아직 믿기지도 않는데 덕춘은 정의로운 망자이자 귀인이라며 그를 치켜세운다. 저승으로 가는 입구, 초군문에서 그를 기다리는 또 한 명의 차사 강림, 그는 차사들의 리더이자 앞으로 자홍이 겪어야 할 7번의 재판에서 변호를 맡아줄 변호사이기도 하다. 염라대왕에게 천년 동안 49명의 망자를 환생시키면 자신들 역시 인간으로 환생시켜 주겠다는 약속을 받은 삼차사들, 그들은 자신들이 변호하고 호위해야 하는 48번째 망자이자 19년 만에 나타난 의로운 귀인 자홍의 환생을 확신하지만, 각 지옥에서 자홍의 과거가 하나 둘씩 드러나면서 예상치 못한 고난과 맞닥뜨리는데…누구나 가지만 아무도 본 적 없는 곳,2017년 새로운 세계의 문이 열린다!"
1000006,파묘,(주)쇼박스,"2,355","115,148,478,414","11,913,725",2024,20240222,장재현,최민식 | 김고은 | 유해진 | 이도현 | 김재철 | 이옥희,"㈜쇼박스,㈜파인타운 프로덕션","공포,미스터리",134,15세관람가,"3,091,398,151","330,118","7,535","3,656,005,238","374,492","8,253","7,570,365,687","770,974","9,473","8,041,374,368","819,842","9,262","3,128,245,583","328,445","8,241","2,836,643,376","298,464","8,359","3,082,112,642","384,594","7,156","3,610,802,621","384,294","7,986","8,368,185,017","851,600","9,700","8,173,341,068","832,278","10,068",95.0%,"55,893",8.23,"3,199","미국 LA, 거액의 의뢰를 받은 무당 ‘화림’(김고은)과 ‘봉길’(이도현)은 기이한 병이 대물림되는 집안의 장손을 만난다.조상의 묫자리가 화근임을 알아챈 ‘화림’은 이장을 권하고, 돈 냄새를 맡은 최고의 풍수사 ‘상덕’(최민식)과 장의사 ‘영근’(유해진)이 합류한다.“전부 잘 알 거야… 묘 하나 잘못 건들면 어떻게 되는지”절대 사람이 묻힐 수 없는 악지에 자리한 기이한 묘.‘상덕’은 불길한 기운을 느끼고 제안을 거절하지만, ‘화림’의 설득으로 결국 파묘가 시작되고…나와서는 안될 것이 나왔다."
1000007,국제시장,(주)씨제이이엔엠,966,"110,828,014,630","14,245,998",2014,20141217,윤제균,황정민 | 김윤진 | 오달수 | 정진영 | 장영남 | 이승불,"㈜JK필름,씨제이엔터테인먼트㈜",드라마,126,12세관람가,"1,356,869,800","184,756","4,444","1,455,888,000","198,552","4,491","1,868,964,257","241,578","4,644","3,544,494,287","442,930","4,760","3,637,334,300","454,191","4,659","1,519,757,200","204,536","4,438","1,579,667,000","217,631","4,269","2,551,589,500","335,504","3,523","4,328,169,000","543,227","3,622","2,629,532,127","333,668","3,686",93.0%,"169,371",9.16,"20,234","가장 평범한 아버지의 가장 위대한 이야기’1950년대 한국전쟁 이후로부터 현재에 이르기까지 격변의 시대를 관통하며 살아온 우리 시대 아버지 ‘덕수’(황정민 분), 그는 하고 싶은 것도 되고 싶은 것도 많았지만 평생 단 한번도 자신을 위해 살아본 적이 없다. ‘괜찮다’ 웃어 보이고 ‘다행이다’ 눈물 훔치며 힘들었던 그때 그 시절, 오직 가족을 위해 굳세게 살아온 우리들의 아버지 이야기가 지금부터 시작된다."
1000008,범죄도시4,"주식회사 에이비오엔터테인먼트,메가박스중앙(주) 플러스엠 엔터테인먼트","2,980","110,038,420,734","11,501,621",2024,20240424,허명행,마동석 | 김무열 | 박지환 | 이동휘 | 이범수 | 실장,"주식회사 빅펀치픽쳐스,㈜홍필름,㈜비에이엔터테인먼트","액션,범죄,스릴러,느와르,코메디",109,15세관람가,"6,767,814,812","821,466","15,674","4,480,727,569","473,054","15,346","6,390,783,830","651,172","16,325","12,025,513,637","1,219,038","17,616","10,316,191,721","1,048,321","16,833","3,441,769,815","362,002","15,144","3,681,798,070","389,867","15,700","7,173,399,964","784,775","14,172","2,348,529,508","250,557","13,777","3,695,365,340","380,639","14,654",92.0%,"42,424",7.40,"2,421","신종 마약 사건 3년 뒤,괴물형사 ‘마석도’(마동석)와 서울 광수대는 배달앱을 이용한 마약 판매 사건을 수사하던 중 수배 중인 앱 개발자가 필리핀에서 사망한 사건이 대규모 온라인 불법 도박 조직과 연관되어 있음을 알아낸다.필리핀에 거점을 두고 납치, 감금, 폭행, 살인 등으로 대한민국 온라인 불법 도박 시장을 장악한 특수부대 용병 출신의 빌런 ‘백창기’(김무열)와 한국에서 더 큰 판을 짜고 있는 IT업계 천재 CEO ‘장동철’(이동휘).‘마석도’는 더 커진 판을 잡기 위해 ‘장이수’(박지환)에게 뜻밖의 협력을 제안하고 광역수사대는 물론, 사이버수사대까지 합류해 범죄를 소탕하기 시작하는데…나쁜 놈 잡는데 국경도 영역도 제한 없다!업그레이드 소탕 작전! 사정없이 싹 쓸어버린다!"
1000009,베테랑,(주)씨제이이엔엠,"1,064","105,024,756,250","13,395,400",2014,20150805,류승완,황정민 | 유아인 | 유해진 | 오달수 | 장윤주,㈜외유내강,"드라마,액션",123,15세관람가,"3,129,197,200","414,219","5,096","3,062,333,800","404,907","5,009","3,822,836,218","477,754","5,100","5,744,084,405","715,334","5,332","5,819,291,900","723,999","5,349","3,180,133,300","420,701","5,226","3,069,469,900","407,694","5,258","2,960,267,600","392,815","5,405","3,079,775,800","406,788","4,814","5,721,321,489","715,051","5,235",98.0%,"134,320",6.51,"2,360","한 번 꽂힌 것은 무조건 끝을 보는 행동파 ‘서도철’(황정민), 20년 경력의 승부사 ‘오팀장’(오달수), 위장 전문 홍일점 ‘미스봉’(장윤주), 육체파 ‘왕형사’(오대환), 막내 ‘윤형사’(김시후)까지 없고, 못 잡는 것 없고, 봐주는 것 없는 특수 강력사건 담당 광역수사대.오랫동안 쫓던 대형 범죄를 해결한 후 숨을 돌리려는 찰나, 서도철은 재벌 3세 ‘조태오’(유아인)를 만나게 된다. 세상 무서울 것 없는 안하무인의 조태오와 언제나 그의 곁을 지키는 오른팔 ‘최상무’(유해진). 서도철은 의문의 사건을 쫓던 중 그들이 사건의 배후에 있음을 직감한다. 건들면 다친다는 충고에도 불구하고 포기하지 않는 서도철의 집념에 판은 걷잡을 수 없이 커져가고 조태오는 이를 비웃기라도 하듯 유유히 포위망을 빠져 나가는데… 베테랑 광역수사대 VS 유아독존 재벌 3세2015년 여름, 자존심을 건 한판 대결이 시작된다!"
1000010,범죄도시3,"주식회사 에이비오엔터테인먼트,메가박스중앙(주) 플러스엠 엔터테인먼트","2,582","104,687,737,771","10,682,813",2022,20230531,이상용,마동석 | 이준혁 | 아오키 | 이범수 | 김민재 | 이옥희,"㈜빅펀치픽쳐스,㈜홍필름,㈜비에이엔터테인먼트","범죄,액션",105,15세관람가,"6,250,068,876","740,844","12,719","4,567,997,674","470,910","12,629","5,895,192,661","582,418","13,369","11,879,460,521","1,162,564","14,702","10,915,444,914","1,072,153","14,500","6,633,367,010","698,263","14,103","8,444,771,950","842,599","12,266","2,071,149,302","214,567","11,331","1,854,905,561","191,942","11,225","2,683,068,569","267,566","11,882",94.0%,"53,918",7.54,"2,407","대체불가 괴물형사 마석도, 서울 광수대로 발탁!베트남 납치 살해범 검거 후 7년 뒤, ‘마석도’(마동석)는 새로운 팀원들과 함께 살인사건을 조사한다.사건 조사 중, ‘마석도’는 신종 마약 사건이 연루되었음을 알게 되고 수사를 확대한다.한편, 마약 사건의 배후인 '주성철'(이준혁)은 계속해서 판을 키워가고 약을 유통하던 일본 조직과 '리키'(아오키 무네타카)까지 한국에 들어오며 사건의 규모는 점점 더 커져가는데...나쁜 놈들 잡는 데 이유 없고 제한 없다커진 판도 시원하게 싹 쓸어버린다!"
