movie_code,week,sales,audience,screens
1000001,1,3004762990,368582,8463
1000002,1,4708879000,682701,6147
1000003,1,4682804560,467483,12159
1000004,1,1884428072,203813,8392
1000005,1,2984150800,406365,6818
1000006,1,3091398151,330118,7535
1000007,1,1356869800,184756,4444
1000008,1,6767814812,821466,15674
1000009,1,3129197200,414219,5096
1000010,1,6250068876,740844,12719
1000011,1,9684810000,1246603,9825
1000012,1,3593111500,477541,6245
1000013,1,5116354700,698088,7068
1000014,1,6562420000,872673,8831
1000015,1,4579290500,568092,8262
1000016,1,3172131090,489996,6827
1000017,1,3954268800,526680,6782
1000018,1,3279668746,386161,10631
1000019,1,4804710928,497498,13450
1000020,1,2111228540,216237,10151
1000021,1,3549081870,450171,8730
1000022,1,2021392600,273445,3970
1000023,1,1145130100,151845,4126
1000024,1,978767500,142843,2672
1000025,1,2131489500,287228,5479
1000026,1,1493451100,203173,4923
1000027,1,1973650400,331736,
1000028,1,2944795900,392856,6617
1000029,1,2833570300,379079,3900
1000030,1,1756744300,230949,4418
1000031,1,1595475900,214065,4520
1000032,1,1377207900,164399,2395
1000033,1,2356899900,310042,4815
1000034,1,2922521800,464460,4702
1000035,1,6109565800,972161,10182
1000036,1,2572699638,318084,9141
1000037,1,1876614700,250237,6108
1000038,1,977031400,122859,4772
1000039,1,1011947000,153400,3147
1000040,1,2040760124,216769,7748
1000041,1,2078483503,210790,6984
1000042,1,1658691350,274118,4950
1000043,1,1980965300,267112,3458
1000044,1,2252747600,308298,5954
1000045,1,2197763200,288966,5364
1000046,1,3378735600,376530,5133
1000047,1,2936013385,373859,8735
1000048,1,2638788700,333316,3835
1000049,1,1454751000,191090,4657
1000050,1,2048853040,252058,7286
1000051,1,2641100940,333867,5801
1000052,1,1970875550,244335,5788
1000053,1,2838086980,344910,9907
1000054,1,2148854707,230978,6787
1000055,1,1138891200,154652,4777
1000056,1,1711379500,236952,5247
1000057,1,2200581820,290024,4701
1000058,1,893105310,126670,6909
1000059,1,2931807740,353000,11822
1000060,1,960455022,101581,5974
1000061,1,987677013,105398,5105
1000062,1,1533302500,201749,3208
1000063,1,1564888600,213172,
1000064,1,729875080,81673,3335
1000065,1,3669119900,444585,5284
1000066,1,1800650600,301330,5726
1000067,1,1105980170,138761,6970
1000068,1,1933393300,287855,4654
1000069,1,1444258970,175397,5187
1000070,1,1369138680,165833,
1000071,1,1390445200,181459,3506
1000072,1,1843357430,233340,8343
1000073,1,964523300,126797,3491
1000074,1,962008400,158174,2138
1000075,1,7585400,1010,144
1000076,1,738666200,121990,3793
1000077,1,590812000,79698,3216
1000078,1,2043182700,235184,4887
1000079,1,3571756130,381521,10143
1000080,1,634048900,87136,5100
1000081,1,1152655840,145572,4912
1000082,1,1028664438,112667,6090
1000083,1,1257773300,168336,4234
1000084,1,984040250,122458,4853
1000085,1,794659400,99411,3456
1000086,1,981625100,151161,4212
1000087,1,574152500,75882,
1000088,1,1380352500,181737,3979
1000089,1,713159400,105838,3132
1000090,1,3195156400,368981,3539
1000091,1,1256715400,198365,3501
1000092,1,1358146010,147297,6136
1000093,1,1070193300,143580,4340
1000094,1,1696710861,171979,3830
1000095,1,682198900,89772,4276
1000096,1,3328085755,336736,7374
1000097,1,890600310,111652,4684
1000098,1,1707833700,206706,2682
1000099,1,636472740,81509,4620
1000100,1,2907847000,475482,5731
1000101,1,633381650,81424,3833
1000102,1,1177376000,157669,3503
1000103,1,1438049010,184517,5881
1000104,1,2064901000,274404,3226
1000105,1,591126790,59736,3678
1000106,1,1062967600,142796,5972
1000107,1,943860670,114589,5512
1000108,1,2693258790,332290,5768
1000109,1,916887400,121122,3577
1000110,1,1142103781,144201,6536
1000111,1,1401876520,176063,5907
1000112,1,1184873200,201987,4191
1000113,1,1184775700,152329,2816
1000114,1,998963192,104795,5986
1000115,1,862812600,114540,3816
1000116,1,646188400,81031,3889
1000117,1,733983300,122543,2994
1000118,1,968188796,99928,5581
1000119,1,653691400,88406,2935
1000120,1,521132610,66952,3689
1000121,1,886118900,147537,4502
1000122,1,688757700,85238,2576
1000123,1,2045376200,250106,5300
1000124,1,558578398,61242,4709
1000125,1,1023319200,136701,3393
1000126,1,,,
1000127,1,1606963118,158155,8507
1000128,1,1311296000,204066,7223
1000129,1,913705410,97352,4992
1000130,1,817343910,97117,3089
1000131,1,1520316950,253727,5362
1000132,1,1032903000,133838,2798
1000133,1,437255920,67610,3957
1000134,1,1415021820,222088,9282
1000135,1,586213900,78816,2743
1000136,1,697196500,98730,2212
1000137,1,413284520,47333,4491
1000138,1,1365529550,219234,4601
1000139,1,296315120,37412,5869
1000140,1,639864680,73064,6235
1000141,1,735086507,79435,
1000142,1,891171979,94495,5147
1000143,1,600962410,74718,3434
1000144,1,713911500,96139,3918
1000145,1,941928500,128396,4005
1000146,1,1198935925,122202,2226
1000147,1,785867900,107854,3511
1000148,1,1238347750,156629,6237
1000149,1,2358170340,380092,6140
1000150,1,872359420,109879,5290
1000151,1,959146850,122978,4323
1000152,1,640011200,108463,4670
1000153,1,1398673680,146206,7085
1000154,1,713374350,92461,6731
1000155,1,721519700,97241,3328
