movie_code,actor_code
1000001,2000446
1000001,2001207
1000001,2001491
1000001,2001037
1000001,2000079
1000001,2001588
1000002,2001543
1000002,2000446
1000002,2001443
1000002,2000174
1000002,2001486
1000003,2000459
1000003,2000718
1000003,2001528
1000003,2000574
1000003,2001674
1000003,2001588
1000004,2001721
1000004,2001346
1000004,2001080
1000004,2000586
1000004,2000224
1000004,2001123
1000005,2001633
1000005,2001514
1000005,2001460
1000005,2000355
1000005,2000166
1000005,2000810
1000006,2001543
1000006,2000140
1000006,2000970
1000006,2001033
1000006,2000292
1000006,2001123
1000007,2001721
1000007,2000277
1000007,2000888
1000007,2001377
1000007,2001271
1000007,2001103
1000008,2000459
1000008,2000178
1000008,2000574
1000008,2001037
1000008,2001057
1000008,2000810
1000009,2001721
1000009,2000953
1000009,2000970
1000009,2000888
1000009,2001274
1000010,2000459
1000010,2001173
1000010,2000816
1000010,2001057
1000010,2000188
1000010,2001123
1000011,2001633
1000011,2001460
1000011,2000355
1000011,2000459
1000011,2000166
1000011,2000063
1000012,2001307
1000012,2001152
1000012,2001633
1000012,2000888
1000012,2001443
1000012,2000490
1000013,2000732
1000013,2001617
1000013,2000970
1000013,2000451
1000013,2000588
1000013,2001588
1000014,2000084
1000014,2001350
1000014,2000459
1000014,2000240
1000014,2000282
1000014,2001067
1000015,2000732
1000015,2001075
1000015,2001420
1000015,2001563
1000015,2000535
1000015,2001123
1000016,2001441
1000016,2000990
1000016,2000062
1000016,2000557
1000016,2000324
1000016,2000849
1000017,2001721
1000017,2000018
1000017,2001080
1000017,2000528
1000017,2000281
1000017,2001103
1000018,2000585
1000018,2000635
1000018,2000831
1000018,2000729
1000018,2000223
1000018,2001103
1000019,2001721
1000019,2001385
1000019,2001274
1000019,2001323
1000019,2000788
1000020,2001686
1000020,2000970
1000020,2001237
1000020,2000414
1000020,2001491
1000020,2001123
1000021,2001060
1000021,2001633
1000021,2000459
1000021,2001312
1000021,2000614
1000021,2001123
1000022,2000152
1000022,2000721
1000022,2000970
1000022,2000272
1000022,2000578
1000022,2001165
1000023,2001686
1000023,2000970
1000023,2000314
1000023,2001271
1000023,2001037
1000024,2000386
1000024,2000814
1000024,2000557
1000024,2000696
1000024,2001721
1000024,2000734
1000025,2000732
1000025,2000084
1000025,2001661
1000025,2001593
1000025,2000865
1000025,2001067
1000026,2001721
1000026,2001345
1000026,2001415
1000026,2000285
1000026,2000436
1000026,2000810
1000027,2000274
1000027,2001633
1000027,2000970
1000027,2000339
1000027,2000600
1000027,2001123
1000028,2001060
1000028,2000018
1000028,2000269
1000028,2000863
1000028,2000888
1000028,2001103
1000029,2001633
1000029,2000609
1000029,2000888
1000029,2000800
1000029,2000404
1000029,2000310
1000030,2001060
1000030,2001418
1000030,2000630
1000030,2001011
1000030,2000373
1000030,2000489
1000031,2000970
1000031,2001171
1000031,2001430
1000031,2001240
1000031,2001446
1000031,2000332
1000032,2000459
1000032,2000974
1000032,2001439
1000032,2001528
1000032,2001250
1000032,2001103
1000033,2000091
1000033,2001721
1000033,2001600
1000033,2001520
1000033,2000374
1000033,2000308
1000034,2001152
1000034,2001057
1000034,2000455
1000034,2001492
1000034,2000578
1000034,2000308
1000035,2001721
1000035,2000712
1000035,2000749
1000035,2001156
1000035,2000240
1000035,2000003
1000036,2000365
1000036,2000881
1000036,2001437
1000036,2000561
1000036,2000305
1000036,2001123
1000037,2000732
1000037,2000953
1000037,2000472
1000037,2001312
1000037,2000354
1000037,2001123
1000038,2001437
1000038,2000402
1000038,2000528
1000038,2000611
1000038,2000865
1000038,2000634
1000039,2000178
1000039,2001486
1000039,2001217
1000039,2000330
1000039,2001278
1000039,2001123
1000040,2000274
1000040,2000630
1000040,2001366
1000040,2001680
1000040,2000223
1000041,2001152
1000041,2001346
1000041,2001312
1000041,2001675
1000041,2000072
1000041,2000810
1000042,2000970
1000042,2001443
1000042,2001073
1000042,2000881
1000042,2000323
1000043,2000721
1000043,2000585
1000043,2000997
1000043,2000436
1000043,2001331
1000043,2000006
1000044,2000049
1000044,2000520
1000044,2000696
1000044,2000582
1000044,2001321
1000044,2000308
1000045,2001437
1000045,2001346
1000045,2000611
1000045,2000250
1000045,2000451
1000045,2001103
1000046,2001443
1000046,2000451
1000046,2000225
1000046,2000586
1000046,2001508
1000046,2000332
1000047,2001441
1000047,2001163
1000047,2001644
1000047,2000787
1000047,2000894
1000048,2001721
1000048,2001080
1000048,2001443
1000048,2001460
1000048,2000373
1000048,2001103
1000049,2000274
1000049,2000018
1000049,2000535
1000049,2000282
1000049,2000726
1000049,2001596
1000050,2001060
1000050,2001080
1000050,2000091
1000050,2001228
1000050,2000234
1000050,2001104
1000051,2000970
1000051,2000451
1000051,2001423
1000051,2000123
1000051,2001199
1000051,2000213
1000052,2000459
1000052,2000207
1000052,2000250
1000052,2001255
1000052,2000597
1000052,2000306
1000053,2001721
1000053,2001152
1000053,2000561
1000053,2000537
1000053,2001584
1000054,2001060
1000054,2000520
1000054,2000516
1000054,2000218
1000054,2000160
1000054,2001123
1000055,2000152
1000055,2000315
1000055,2000258
1000055,2000483
1000055,2000032
1000055,2000810
1000056,2001346
1000056,2000091
1000056,2000129
1000056,2000282
1000056,2001011
1000056,2001123
1000057,2000193
1000057,2000339
1000057,2001633
1000057,2001443
1000057,2000354
1000057,2001588
1000058,2000274
1000058,2001437
1000058,2001680
1000058,2000234
1000058,2001323
1000059,2000018
1000059,2001156
1000059,2000117
1000059,2000188
1000059,2000160
1000059,2000810
1000060,2000451
1000060,2000970
1000060,2001539
1000060,2001415
1000060,2000508
1000060,2001123
1000061,2001335
1000061,2000140
1000061,2000386
1000061,2001439
1000061,2000617
1000061,2001123
1000062,2001553
1000062,2000783
1000062,2000091
1000062,2001207
1000062,2000970
1000062,2001123
1000063,2001686
1000063,2000967
1000063,2000611
1000063,2000528
1000063,2000385
1000063,2001123
1000064,2001458
1000064,2000091
1000064,2000963
1000064,2001134
1000064,2000188
1000064,2001256
1000065,2001060
1000065,2000274
1000065,2000585
1000065,2000065
1000065,2000741
1000065,2001475
1000066,2000365
1000066,2000953
1000066,2001680
1000066,2001423
1000066,2000633
1000066,2001588
1000067,2001350
1000067,2000084
1000067,2000179
1000067,2000080
1000067,2000527
1000067,2001588
1000068,2001686
1000068,2001366
1000068,2001441
1000068,2001440
1000068,2001661
1000069,2000459
1000069,2000178
1000069,2000223
1000069,2000951
1000069,2001544
1000069,2001256
1000070,2000451
1000070,2000967
1000070,2001423
1000070,2000291
1000070,2000188
1000070,2001067
1000071,2001346
1000071,2001057
1000071,2000831
1000071,2000285
1000071,2001107
1000071,2001047
1000072,2000459
1000072,2000561
1000072,2001385
1000072,2000881
1000072,2000062
1000072,2001466
1000073,2001060
1000073,2000992
1000073,2000561
1000073,2000478
1000073,2001537
1000073,2000810
1000074,2000048
1000074,2001537
1000074,2000720
1000074,2000626
1000074,2001324
1000075,2000567
1000075,2000387
1000075,2001043
1000075,2000790
1000075,2000830
1000076,2000156
1000076,2001406
1000076,2000600
1000076,2001563
1000076,2001571
1000076,2000810
1000077,2001075
1000077,2001443
1000077,2000800
1000077,2001323
1000077,2000778
1000077,2001713
1000078,2000107
1000078,2000696
1000078,2001017
1000078,2000663
1000078,2000398
1000078,2000384
1000079,2001686
1000079,2000561
1000079,2001423
1000079,2001303
1000079,2001035
1000079,2000826
1000080,2000386
1000080,2001159
1000080,2000578
1000080,2000882
1000080,2001070
1000080,2001596
1000081,2000171
1000081,2000090
1000081,2000014
1000081,2001347
1000081,2001267
1000081,2001588
1000082,2001159
1000082,2000100
1000082,2001696
1000082,2000676
1000082,2001082
1000082,2000824
1000083,2001643
1000083,2000171
1000083,2001011
1000083,2000032
1000083,2000224
1000083,2001103
1000084,2000970
1000084,2000974
1000084,2000373
1000084,2000929
1000084,2000347
1000084,2001596
1000085,2000516
1000085,2000254
1000085,2000014
1000085,2000059
1000085,2001264
1000085,2001620
1000086,2000269
1000086,2001174
1000086,2000049
1000086,2001336
1000086,2001133
1000086,2000463
