movie_code,director_code
1000001,3000307
1000002,3000126
1000003,3000310
1000004,3000075
1000005,3000091
1000006,3000395
1000007,3000285
1000008,3000507
1000009,3000151
1000010,3000310
1000011,3000091
1000012,3000464
1000013,3000402
1000014,3000261
1000015,3000215
1000016,3000309
1000017,3000342
1000018,3000126
1000019,3000151
1000020,3000316
1000021,3000371
1000021,3000062
1000022,3000316
1000023,3000081
1000024,3000530
1000025,3000111
1000026,3000316
1000027,3000396
1000028,3000446
1000029,3000081
1000030,3000269
1000031,3000296
1000032,3000012
1000033,3000143
1000034,3000346
1000035,3000151
1000036,3000151
1000037,3000355
1000038,3000046
1000039,3000124
1000040,3000126
1000041,3000349
1000042,3000344
1000043,3000513
1000044,3000106
1000045,3000504
1000046,3000370
1000047,3000125
1000048,3000287
1000049,3000395
1000050,3000269
1000051,3000270
1000052,3000228
1000053,3000521
1000054,3000260
1000055,3000187
1000056,3000255
1000057,3000193
1000058,3000151
1000059,3000261
1000060,3000251
1000061,3000285
1000062,3000016
1000063,3000398
1000064,3000024
1000065,3000530
1000066,3000463
1000067,3000056
1000068,3000344
1000069,3000338
1000070,3000166
1000071,3000435
1000072,3000475
1000073,3000467
1000074,3000448
1000075,3000272
1000076,3000198
1000077,3000081
1000078,3000329
1000079,3000269
1000080,3000127
1000081,3000125
1000082,3000353
1000083,3000142
1000084,3000258
1000085,3000314
1000086,3000307
1000087,3000033
1000088,3000024
1000089,3000457
1000090,3000431
1000091,3000413
1000092,3000113
1000093,3000270
1000094,3000144
1000095,3000343
1000096,3000504
1000097,3000425
1000098,3000133
1000099,3000471
1000100,3000075
1000101,3000368
1000102,3000162
1000103,3000395
1000104,3000138
1000105,3000163
1000106,3000070
1000107,3000193
1000108,3000034
1000109,3000122
1000110,3000076
1000111,3000153
1000112,3000355
1000113,3000277
1000114,3000382
1000115,3000208
1000116,3000351
1000117,3000119
1000118,3000080
1000119,3000387
1000120,3000145
1000121,3000513
1000122,3000018
1000123,3000269
1000124,3000177
1000125,3000168
1000126,3000209
1000127,3000464
1000128,3000447
1000129,3000489
1000130,3000138
1000131,3000506
1000132,3000192
1000133,3000005
1000134,3000255
1000135,3000362
1000136,3000497
1000137,3000071
1000137,3000044
1000138,3000063
1000139,3000353
1000140,3000185
1000141,3000274
1000142,3000464
1000143,3000411
1000144,3000127
1000145,3000198
1000146,3000368
1000147,3000382
1000148,3000081
1000149,3000106
1000150,3000392
1000151,3000298
1000152,3000158
1000153,3000021
1000154,3000101
1000155,3000065
1000156,3000345
1000157,3000016
1000158,3000506
1000159,3000382
1000160,3000278
1000161,3000082
1000162,3000368
1000163,3000330
1000164,3000392
1000165,3000440
1000166,3000148
1000167,3000052
1000168,3000364
1000169,3000085
1000170,3000198
1000171,3000045
1000172,3000463
1000173,3000307
1000174,3000363
1000175,3000400
1000176,3000181
1000177,3000526
1000178,3000510
1000179,3000426
1000180,3000230
1000181,3000296
1000182,3000036
1000183,3000352
1000184,3000081
1000185,3000414
1000186,3000025
1000187,3000307
1000188,3000268
1000189,3000013
1000190,3000090
1000191,3000525
1000192,3000248
1000193,3000012
1000194,3000117
1000195,3000437
1000196,3000478
1000197,3000159
1000198,3000329
1000199,3000355
1000200,3000532
1000201,3000088
1000202,3000364
1000203,3000013
1000204,3000511
1000205,3000202
1000206,3000392
1000207,3000329
1000208,3000289
1000209,3000368
1000210,3000284
1000211,3000450
1000212,3000174
1000213,3000350
1000214,3000010
1000215,3000210
1000216,3000261
1000217,3000437
1000218,3000338
1000219,3000492
1000220,3000018
1000221,3000468
1000222,3000288
1000223,3000210
1000224,3000397
1000225,3000211
1000226,3000111
1000227,3000228
1000228,3000370
1000229,3000119
1000230,3000198
1000231,3000299
1000232,3000343
1000233,3000400
1000234,3000196
1000235,3000479
1000236,3000412
1000237,3000469
1000237,3000116
1000238,3000053
1000239,3000047
1000240,3000213
1000241,3000423
1000242,3000131
1000242,3000286
1000243,3000337
1000244,3000408
1000245,3000511
1000246,3000517
1000246,3000390
1000246,3000257
1000247,3000463
1000248,3000513
1000249,3000358
1000250,3000131
1000250,3000290
1000251,3000121
1000252,3000216
1000253,3000038
1000254,3000386
1000255,3000092
1000256,3000104
1000257,3000117
1000258,3000155
1000259,3000105
1000260,3000445
1000261,3000431
1000262,3000086
1000263,3000122
1000264,3000134
1000265,3000169
1000266,3000278
1000267,3000336
1000268,3000091
1000269,3000347
1000270,3000324
1000271,3000229
1000272,3000138
1000273,3000409
1000274,3000147
1000275,3000219
1000276,3000173
1000277,3000461
1000278,3000333
1000279,3000360
1000280,3000051
1000281,3000469
1000281,3000116
1000282,3000171
1000283,3000222
1000284,3000320
1000285,3000066
1000286,3000469
1000286,3000116
1000287,3000262
1000288,3000425
1000289,3000500
1000290,3000009
1000290,3000286
1000291,3000168
1000292,3000532
1000293,3000211
1000294,3000245
1000295,3000133
1000296,3000200
1000297,3000342
1000298,3000479
1000299,3000260
1000300,3000355
1000301,3000426
1000302,3000386
1000303,3000154
1000304,3000460
1000305,3000040
1000306,3000171
1000307,3000444
1000308,3000375
1000309,3000249
1000310,3000388
1000311,3000031
1000312,3000449
1000313,3000335
1000314,3000457
1000315,3000114
1000316,3000523
1000317,3000267
1000318,3000286
1000318,3000074
1000319,3000374
1000320,3000054
1000321,3000122
1000322,3000340
1000323,3000433
1000324,3000509
1000325,3000199
1000326,3000308
1000327,3000521
1000328,3000138
1000329,3000252
1000330,3000176
1000331,3000488
1000332,3000264
1000333,3000303
1000334,3000199
1000335,3000281
1000336,3000469
1000336,3000275
1000337,3000480
1000338,3000218
1000339,3000355
1000340,3000111
1000341,3000066
1000342,3000371
1000343,3000189
1000344,3000079
1000345,3000338
1000346,3000175
1000347,3000157
1000348,3000417
1000348,3000140
1000349,3000415
1000350,3000370
1000351,3000397
1000352,3000255
1000353,3000354
1000354,3000334
1000355,3000189
1000356,3000239
1000357,3000237
1000358,3000491
1000359,3000454
1000360,3000159
1000361,3000024
1000362,3000118
1000363,3000095
1000364,3000192
1000365,3000144
1000366,3000171
1000367,3000247
1000367,3000484
1000368,3000144
1000369,3000203
1000370,3000264
1000371,3000519
1000372,3000427
1000373,3000305
1000374,3000493
1000375,3000347
1000376,3000353
1000377,3000160
1000378,3000025
1000379,3000469
1000379,3000325
1000379,3000416
1000380,3000190
1000381,3000227
1000382,3000043
1000383,3000472
1000383,3000453
1000384,3000041
1000385,3000306
1000386,3000294
1000387,3000176
1000388,3000466
1000389,3000328
1000390,3000103
1000391,3000102
1000392,3000514
1000393,3000337
1000394,3000339
1000395,3000106
1000396,3000377
1000397,3000515
1000398,3000087
1000399,3000289
1000400,3000266
1000400,3000072
1000401,3000429
1000402,3000339
1000403,3000424
1000404,3000474
1000405,3000341
1000406,3000389
1000407,3000473
1000408,3000430
1000408,3000419
1000409,3000350
1000410,3000410
1000411,3000323
1000412,3000525
1000413,3000407
1000414,3000427
1000415,3000090
1000416,3000263
1000416,3000365
1000417,3000443
1000418,3000178
1000419,3000022
1000420,3000094
1000421,3000442
1000422,3000221
1000423,3000420
1000424,3000273
1000425,3000369
1000426,3000277
1000427,3000410
1000428,3000055
1000429,3000413
1000430,3000055
1000431,3000129
1000432,3000283
1000433,3000120
1000434,3000300
1000434,3000020
1000435,3000271
1000436,3000520
1000437,3000227
1000438,3000098
1000439,3000380
1000440,3000240
1000441,3000189
1000442,3000263
1000442,3000365
1000443,3000302
1000444,3000379
1000445,3000413
1000446,3000140
1000447,3000035
1000448,3000152
1000449,3000079
1000450,3000441
1000451,3000115
1000452,3000327
1000453,3000332
1000454,3000033
1000455,3000243
1000456,3000241
1000457,3000061
1000458,3000295
1000459,3000246
1000460,3000098
1000461,3000014
1000462,3000476
1000463,3000107
1000464,3000034
1000465,3000332
1000466,3000436
1000467,3000206
1000468,3000399
1000469,3000383
1000470,3000039
1000471,3000084
1000472,3000448
1000473,3000418
1000474,3000170
1000475,3000327
1000476,3000204
1000476,3000256
1000476,3000182
1000477,3000164
1000478,3000068
1000479,3000332
1000480,3000473
1000481,3000272
1000482,3000050
1000483,3000432
1000484,3000503
1000485,3000458
1000486,3000433
1000487,3000195
1000488,3000266
1000488,3000223
1000489,3000110
1000490,3000332
1000491,3000212
1000492,3000320
1000493,3000073
1000494,3000512
1000495,3000186
1000496,3000267
1000497,3000008
1000498,3000330
1000499,3000011
1000500,3000066
1000501,3000180
1000501,3000304
1000503,3000197
1000504,3000231
1000505,3000019
1000506,3000405
1000507,3000483
1000508,3000495
1000509,3000325
