movie_code,distributor_name
1000001,(주)씨제이이엔엠
1000002,(주)씨제이이엔엠
1000003,주식회사 에이비오엔터테인먼트
1000003,메가박스중앙(주) 플러스엠 엔터테인먼트
1000004,메가박스중앙(주) 플러스엠 엔터테인먼트
1000005,롯데쇼핑㈜롯데엔터테인먼트
1000006,(주)쇼박스
1000007,(주)씨제이이엔엠
1000008,주식회사 에이비오엔터테인먼트
1000008,메가박스중앙(주) 플러스엠 엔터테인먼트
1000009,(주)씨제이이엔엠
1000010,주식회사 에이비오엔터테인먼트
1000010,메가박스중앙(주) 플러스엠 엔터테인먼트
1000011,롯데컬처웍스(주)롯데엔터테인먼트
1000012,(주)쇼박스
1000013,(주)쇼박스
1000014,(주)넥스트엔터테인먼트월드(NEW)
1000015,(주)씨제이이엔엠
1000016,(주)씨제이이엔엠
1000017,(주)쇼박스
1000018,롯데컬처웍스(주)롯데엔터테인먼트
1000019,(주)씨제이이엔엠
1000020,(주)씨제이이엔엠
1000021,(주)씨제이이엔엠
1000021,(주)덱스터스튜디오
1000022,롯데쇼핑㈜롯데엔터테인먼트
1000023,(주)씨제이이엔엠
1000024,(주)씨제이이엔엠
1000025,워너브러더스 코리아(주)
1000026,(주)씨제이이엔엠
1000027,(주)씨제이이엔엠
1000028,(주)씨제이이엔엠
1000029,(주)쇼박스
1000030,(주)쇼박스
1000031,(주)쇼박스
1000032,메가박스중앙(주) 플러스엠 엔터테인먼트
1000032,(주)키위미디어그룹
1000033,이십세기폭스코리아(주)
1000034,(주)씨제이이엔엠
1000035,(주)씨제이이엔엠
1000036,(주)넥스트엔터테인먼트월드(NEW)
1000037,(주)쇼박스
1000038,(주)넥스트엔터테인먼트월드(NEW)
1000039,(주)넥스트엔터테인먼트월드(NEW)
1000040,롯데컬처웍스(주)롯데엔터테인먼트
1000040,(주)에이스메이커무비웍스
1000041,메가박스중앙(주) 플러스엠 엔터테인먼트
1000042,롯데컬처웍스(주)롯데엔터테인먼트
1000043,롯데쇼핑㈜롯데엔터테인먼트
1000044,롯데쇼핑㈜롯데엔터테인먼트
1000045,(주)넥스트엔터테인먼트월드(NEW)
1000046,(주)넥스트엔터테인먼트월드(NEW)
1000047,롯데컬처웍스(주)롯데엔터테인먼트
1000048,(주)씨제이이엔엠
1000049,(주)씨제이이엔엠
1000050,(주)쇼박스
1000051,(주)쇼박스
1000052,(주)씨제이이엔엠
1000053,(주)씨제이이엔엠
1000054,롯데컬처웍스(주)롯데엔터테인먼트
1000055,(주)넥스트엔터테인먼트월드(NEW)
1000056,(주)넥스트엔터테인먼트월드(NEW)
1000057,(주)씨제이이엔엠
1000058,롯데컬처웍스(주)롯데엔터테인먼트
1000059,(주)넥스트엔터테인먼트월드(NEW)
1000060,(주)넥스트엔터테인먼트월드(NEW)
1000061,(주)씨제이이엔엠
1000062,롯데쇼핑㈜롯데엔터테인먼트
1000062,(주)싸이더스
1000063,(주)쇼박스
1000064,(주)바이포엠스튜디오
1000065,(주)씨제이이엔엠
1000066,(주)씨제이이엔엠
1000067,롯데컬처웍스(주)롯데엔터테인먼트
1000068,롯데쇼핑㈜롯데엔터테인먼트
1000069,(주)에이스메이커무비웍스
1000069,(주)키위미디어그룹
1000070,(주)쇼박스
1000071,(주)쇼박스
1000072,(주)넥스트엔터테인먼트월드(NEW)
1000073,(주)씨제이이엔엠
1000074,(주)와우픽쳐스
1000075,워너브러더스 코리아(주)
1000076,워너브러더스 코리아(주)
1000077,(주)쇼박스
1000078,(주)씨제이이엔엠
1000079,(주)씨제이이엔엠
1000080,(주)마노엔터테인먼트
1000080,롯데쇼핑㈜롯데엔터테인먼트
1000080,(주)리틀빅픽쳐스
1000081,(주)넥스트엔터테인먼트월드(NEW)
1000082,메가박스중앙(주) 플러스엠 엔터테인먼트
1000083,(주)쇼박스
1000084,롯데컬처웍스(주)롯데엔터테인먼트
1000085,메가박스중앙(주) 플러스엠 엔터테인먼트
1000086,(주)넥스트엔터테인먼트월드(NEW)
1000087,(주)씨제이이엔엠
1000088,(주)쇼박스
1000089,(주)씨제이이엔엠
1000090,(주)넥스트엔터테인먼트월드(NEW)
1000091,(주)쇼박스
1000091,씨제이포디플렉스 주식회사
1000092,(주)쇼박스
1000093,(주)쇼박스
1000094,(주)마인드마크
1000095,롯데쇼핑㈜롯데엔터테인먼트
1000096,(주)쇼박스
1000097,(주)에이스메이커무비웍스
1000098,롯데쇼핑㈜롯데엔터테인먼트
1000099,롯데컬처웍스(주)롯데엔터테인먼트
1000100,(주)씨제이이엔엠
1000101,롯데컬처웍스(주)롯데엔터테인먼트
1000102,(주)씨제이이엔엠
1000103,(주)씨제이이엔엠
1000104,롯데쇼핑㈜롯데엔터테인먼트
1000105,스튜디오 초이스 주식회사
1000105,(주)싸이더스
1000106,(주)쇼박스
1000107,(주)씨제이이엔엠
1000108,롯데컬처웍스(주)롯데엔터테인먼트
1000109,오퍼스픽쳐스(유)
1000109,CGV아트하우스
1000110,(주)씨제이이엔엠
1000111,(주)씨제이이엔엠
1000112,메가박스중앙(주) 플러스엠 엔터테인먼트
1000113,(주)쇼박스
1000114,메가박스중앙(주) 플러스엠 엔터테인먼트
1000115,(주)씨제이이엔엠
1000116,(주)씨제이이엔엠
1000117,(주)쇼박스
1000118,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
1000118,(주)키다리스튜디오
1000119,씨네그루(주)다우기술
1000120,(주)넥스트엔터테인먼트월드(NEW)
1000121,롯데컬처웍스(주)롯데엔터테인먼트
1000122,(주)메리크리스마스
1000122,TCO(주)더콘텐츠온
1000123,(주)쇼박스
1000124,(주)쇼박스
1000125,(주)씨제이이엔엠
1000126,(주)넥스트엔터테인먼트월드(NEW)
1000127,(주)씨제이이엔엠
1000128,롯데컬처웍스(주)롯데엔터테인먼트
1000129,(주)넥스트엔터테인먼트월드(NEW)
1000130,(주)에이스메이커무비웍스
1000131,(주)쇼박스
1000132,(주)씨제이이엔엠
1000133,(주)씨제이이엔엠
1000134,롯데컬처웍스(주)롯데엔터테인먼트
1000135,CGV아트하우스
1000135,영화사 풀
1000136,(주)넥스트엔터테인먼트월드(NEW)
1000137,(주)씨제이이엔엠
1000138,(주)씨제이이엔엠
1000139,롯데컬처웍스(주)롯데엔터테인먼트
1000140,(주)씨제이이엔엠
1000141,롯데컬처웍스(주)롯데엔터테인먼트
1000142,(주)씨제이이엔엠
1000143,(주)씨제이이엔엠
1000144,(주)씨제이이엔엠
1000145,(주)넥스트엔터테인먼트월드(NEW)
1000146,(주)마인드마크
1000147,메가박스중앙(주) 플러스엠 엔터테인먼트
1000148,(주)넥스트엔터테인먼트월드(NEW)
1000149,롯데컬처웍스(주)롯데엔터테인먼트
1000150,(주)넥스트엔터테인먼트월드(NEW)
1000151,메가박스중앙(주) 플러스엠 엔터테인먼트
1000152,(주)씨제이이엔엠
1000153,(주)씨제이이엔엠
1000154,롯데컬처웍스(주)롯데엔터테인먼트
1000155,(주)넥스트엔터테인먼트월드(NEW)
1000156,(주)씨제이이엔엠
1000157,(주)넥스트엔터테인먼트월드(NEW)
1000158,CGV아트하우스
1000159,메가박스중앙(주) 플러스엠 엔터테인먼트
1000160,(주)넥스트엔터테인먼트월드(NEW)
1000161,(주)콘텐츠지오
1000161,(주)아티스트스튜디오
1000161,(주)무빙픽쳐스컴퍼니
1000162,CGV아트하우스
1000163,롯데쇼핑㈜롯데엔터테인먼트
1000164,메가박스중앙(주) 플러스엠 엔터테인먼트
1000165,(주)씨제이이엔엠
1000166,(주)씨제이이엔엠
1000167,(주)넥스트엔터테인먼트월드(NEW)
1000168,메가박스중앙(주) 플러스엠 엔터테인먼트
1000169,(주)쇼박스
1000170,워너브러더스 코리아(주)
1000171,(주)씨제이이엔엠
1000172,롯데컬처웍스(주)롯데엔터테인먼트
1000173,메가박스중앙(주) 플러스엠 엔터테인먼트
1000174,(주)키다리이엔티
1000175,메가박스중앙(주) 플러스엠 엔터테인먼트
1000175,주식회사 키위컴퍼니
1000176,(주)쇼박스
1000177,(주)씨제이이엔엠
1000178,(주)넥스트엔터테인먼트월드(NEW)
1000179,CGV아트하우스
1000180,(주)에이스메이커무비웍스
1000181,(주)넥스트엔터테인먼트월드(NEW)
1000182,(주)넥스트엔터테인먼트월드(NEW)
1000183,(주)넥스트엔터테인먼트월드(NEW)
1000184,(주)쇼박스
1000185,(주)넥스트엔터테인먼트월드(NEW)
1000186,(주)씨제이이엔엠
1000187,(주)넥스트엔터테인먼트월드(NEW)
1000188,(주)쇼박스
1000189,롯데컬처웍스(주)롯데엔터테인먼트
