movie_code,genre_name
1000001,코메디
1000002,시대극/사극
1000002,액션
1000002,전기
1000003,범죄
1000003,액션
1000004,드라마
1000005,드라마
1000005,판타지
1000006,공포
1000006,미스터리
1000007,드라마
1000008,액션
1000008,범죄
1000008,스릴러
1000008,느와르
1000008,코메디
1000009,드라마
1000009,액션
1000010,범죄
1000010,액션
1000011,판타지
1000011,드라마
1000012,액션
1000012,드라마
1000013,드라마
1000013,사회물(경향)
1000014,액션
1000014,스릴러
1000014,재난
1000015,드라마
1000016,액션
1000016,코메디
1000017,드라마
1000017,액션
1000017,코메디
1000017,범죄
1000018,액션
1000018,드라마
1000018,전쟁
1000018,시대극/사극
1000019,액션
1000019,범죄
1000020,액션
1000020,코메디
1000021,액션
1000021,드라마
1000021,어드벤처
1000021,반공/분단
1000022,액션
1000022,어드벤처
1000023,액션
1000023,드라마
1000024,드라마
1000024,코메디
1000025,드라마
1000025,역사
1000026,드라마
1000027,드라마
1000028,액션
1000028,범죄
1000029,드라마
1000030,드라마
1000030,범죄
1000031,코메디
1000031,드라마
1000032,범죄
1000032,액션
1000033,드라마
1000033,미스터리
1000033,스릴러
1000034,드라마
1000034,첩보
1000034,전쟁
1000035,드라마
1000035,액션
1000036,범죄
1000037,드라마
1000037,시대극/사극
1000038,시대극/사극
1000038,액션
1000039,전쟁
1000039,드라마
1000040,액션
1000040,전쟁
1000040,드라마
1000041,액션
1000041,드라마
1000042,드라마
1000042,코메디
1000043,시대극/사극
1000043,드라마
1000044,액션
1000045,범죄
1000045,드라마
1000046,범죄
1000046,액션
1000047,코메디
1000048,드라마
1000049,미스터리
1000049,드라마
1000050,드라마
1000050,액션
1000051,액션
1000051,드라마
1000051,시대극/사극
1000051,전쟁
1000052,범죄
1000052,액션
1000053,범죄
1000053,액션
1000053,드라마
1000054,드라마
1000054,재난
1000055,드라마
1000055,재난
1000056,액션
1000056,드라마
1000057,스릴러
1000057,드라마
1000058,드라마
1000059,공포
1000059,스릴러
1000059,드라마
1000059,액션
1000060,스릴러
1000060,시대극/사극
1000061,전기
1000061,드라마
1000061,뮤지컬
1000061,인물
1000062,드라마
1000063,범죄
1000064,드라마
1000065,시대극/사극
1000065,드라마
1000066,드라마
1000067,드라마
1000068,드라마
1000068,시대극/사극
1000069,범죄
1000069,액션
1000070,범죄
1000071,액션
1000071,범죄
1000072,드라마
1000073,드라마
1000073,코메디
1000074,드라마
1000075,공포
1000075,스릴러
1000075,드라마
1000076,액션
1000076,미스터리
1000077,드라마
1000077,액션
1000077,범죄
1000078,코메디
1000078,범죄
1000079,액션
1000079,드라마
1000079,스릴러
1000080,코메디
1000080,드라마
1000081,멜로/로맨스
1000081,코메디
1000082,액션
1000082,드라마
1000083,액션
1000083,범죄
1000084,드라마
1000085,멜로드라마
1000086,드라마
1000086,멜로드라마
1000086,코메디
1000087,드라마
1000087,코메디
1000088,드라마
1000088,미스터리
1000088,범죄
1000089,드라마
1000089,액션
1000090,스릴러
1000091,공포
1000091,미스터리
1000092,코메디
1000092,드라마
1000093,범죄
1000093,스릴러
1000094,코메디
1000095,멜로드라마
1000096,드라마
1000096,스릴러
1000097,범죄
1000097,드라마
1000098,드라마
1000098,코메디
1000099,코메디
1000099,액션
1000100,액션
1000100,범죄
1000101,드라마
1000102,액션
1000102,범죄
1000103,미스터리
1000103,스릴러
1000104,드라마
1000104,범죄
1000104,액션
1000105,코메디
1000106,시대극/사극
1000106,코메디
1000106,어드벤처
1000107,멜로/로맨스
1000107,미스터리
1000107,드라마
1000108,범죄
1000108,드라마
1000109,드라마
1000110,미스터리
1000111,범죄
1000111,액션
1000112,드라마
1000112,전기
1000113,드라마
1000113,액션
1000114,드라마
1000115,범죄
1000115,스릴러
1000116,범죄
1000117,코메디
1000117,드라마
1000118,범죄
1000118,재난
1000118,스릴러
1000118,시대극/사극
1000119,드라마
1000119,멜로드라마
1000119,코메디
1000120,코메디
1000121,시대극/사극
1000122,판타지
1000122,코메디
1000123,범죄
1000123,드라마
1000123,액션
1000124,드라마
1000124,액션
1000124,코메디
1000125,시대극/사극
1000125,드라마
1000126,드라마
1000126,판타지
1000127,SF
1000127,액션
1000127,판타지
