movie_code,people_code,role
1000001,2000581,actor
1000001,2001543,actor
1000001,2001903,actor
1000001,2001319,actor
1000001,2000101,actor
1000001,2002021,actor
1000002,2001964,actor
1000002,2000581,actor
1000002,2001850,actor
1000002,2000230,actor
1000002,2001898,actor
1000003,2000598,actor
1000003,2000926,actor
1000003,2001948,actor
1000003,2000748,actor
1000003,2002134,actor
1000003,2002021,actor
1000004,2002207,actor
1000004,2001730,actor
1000004,2001375,actor
1000004,2000765,actor
1000004,2000292,actor
1000004,2001430,actor
1000005,2002079,actor
1000005,2001927,actor
1000005,2001871,actor
1000005,2000466,actor
1000005,2000221,actor
1000005,2001036,actor
1000006,2001964,actor
1000006,2000182,actor
1000006,2001227,actor
1000006,2001314,actor
1000006,2000381,actor
1000006,2001430,actor
1000007,2002207,actor
1000007,2000364,actor
1000007,2001130,actor
1000007,2001768,actor
1000007,2001629,actor
1000007,2001405,actor
1000008,2000598,actor
1000008,2000235,actor
1000008,2000748,actor
1000008,2001319,actor
1000008,2001341,actor
1000008,2001036,actor
1000009,2002207,actor
1000009,2001204,actor
1000009,2001227,actor
1000009,2001130,actor
1000009,2001633,actor
1000010,2000598,actor
1000010,2001499,actor
1000010,2001044,actor
1000010,2001341,actor
1000010,2000246,actor
1000010,2001430,actor
1000011,2002079,actor
1000011,2001871,actor
1000011,2000466,actor
1000011,2000598,actor
1000011,2000221,actor
1000011,2000084,actor
1000012,2001678,actor
1000012,2001473,actor
1000012,2002079,actor
1000012,2001130,actor
1000012,2001850,actor
1000012,2000633,actor
1000013,2000944,actor
1000013,2002055,actor
1000013,2001227,actor
1000013,2000588,actor
1000013,2000767,actor
1000013,2002021,actor
1000014,2000106,actor
1000014,2001735,actor
1000014,2000598,actor
1000014,2000317,actor
1000014,2000369,actor
1000014,2001354,actor
1000015,2000944,actor
1000015,2001368,actor
1000015,2001821,actor
1000015,2001988,actor
1000015,2000695,actor
1000015,2001430,actor
1000016,2001847,actor
1000016,2001249,actor
1000016,2000082,actor
1000016,2000724,actor
1000016,2000424,actor
1000016,2001081,actor
1000017,2002207,actor
1000017,2000024,actor
1000017,2001375,actor
1000017,2000688,actor
1000017,2000368,actor
1000017,2001405,actor
1000018,2000764,actor
1000018,2000829,actor
1000018,2001061,actor
1000018,2000941,actor
1000018,2000291,actor
1000018,2001405,actor
1000019,2002207,actor
1000019,2001777,actor
1000019,2001633,actor
1000019,2001700,actor
1000019,2001007,actor
1000020,2002154,actor
1000020,2001227,actor
1000020,2001588,actor
1000020,2000548,actor
1000020,2001903,actor
1000020,2001430,actor
1000021,2001344,actor
1000021,2002079,actor
1000021,2000598,actor
1000021,2001685,actor
1000021,2000801,actor
1000021,2001430,actor
1000022,2000200,actor
1000022,2000930,actor
1000022,2001227,actor
1000022,2000358,actor
1000022,2000756,actor
1000022,2001489,actor
1000023,2002154,actor
1000023,2001227,actor
1000023,2000410,actor
1000023,2001629,actor
1000023,2001319,actor
1000024,2000512,actor
1000024,2001041,actor
1000024,2000724,actor
1000024,2000900,actor
1000024,2002207,actor
1000024,2000946,actor
1000025,2000944,actor
1000025,2000106,actor
1000025,2002121,actor
1000025,2002027,actor
1000025,2001104,actor
1000025,2001354,actor
1000026,2002207,actor
1000026,2001729,actor
1000026,2001814,actor
1000026,2000372,actor
1000026,2000571,actor
1000026,2001036,actor
1000027,2000361,actor
1000027,2002079,actor
1000027,2001227,actor
1000027,2000446,actor
1000027,2000784,actor
1000027,2001430,actor
1000028,2001344,actor
1000028,2000024,actor
1000028,2000354,actor
1000028,2001102,actor
1000028,2001130,actor
1000028,2001405,actor
1000029,2002079,actor
1000029,2000796,actor
1000029,2001130,actor
1000029,2001023,actor
1000029,2000534,actor
1000029,2000406,actor
1000030,2001344,actor
1000030,2001819,actor
1000030,2000821,actor
1000030,2001285,actor
1000030,2000497,actor
1000030,2000632,actor
1000031,2001227,actor
1000031,2001495,actor
1000031,2001833,actor
1000031,2001592,actor
1000031,2001855,actor
1000031,2000434,actor
1000032,2000598,actor
1000032,2001232,actor
1000032,2001844,actor
1000032,2001948,actor
1000032,2001605,actor
1000032,2001405,actor
1000033,2000114,actor
1000033,2002207,actor
1000033,2002036,actor
1000033,2001939,actor
1000033,2000498,actor
1000033,2000403,actor
1000034,2001473,actor
1000034,2001341,actor
1000034,2000593,actor
1000034,2001904,actor
1000034,2000756,actor
1000034,2000403,actor
